athlete;gender;timestamp;distance (m);elapsed time (s);elevation gain (m);average heart rate (bpm)
7191483;M;28.09.18;7854.5;2522;171.5;157.8
7191483;M;24.09.18;9383.2;3322;241.2;153.5
7191483;M;21.09.18;8042.0;2845;172.4;149.6
7191483;M;24.08.18;4713.2;1846;95.5;146.9
7191483;M;06.07.18;9748.0;2898;168.6;180.3
7191483;M;14.06.18;12387.1;3829;185.0;159.4
7191483;M;11.06.18;7672.1;2524;173.4;
7191483;M;16.05.18;10024.2;3637;271.7;146.4
7191483;M;12.04.18;12558.9;4249;298.2;156.9
7191483;M;13.03.18;14655.1;4750;348.5;152.1
7191483;M;07.03.18;10736.6;3501;225.7;156.6
7191483;M;04.03.18;12507.3;4042;187.7;157.0
7191483;M;26.02.18;10062.8;3182;213.6;160.9
7191483;M;21.02.18;10279.9;3293;219.7;
7191483;M;15.02.18;11755.9;3374;58.1;
7191483;M;12.02.18;9629.8;3177;237.1;
7191483;M;24.01.18;11002.6;3688;223.9;
7191483;M;17.01.18;472.5;144;45659;
7191483;M;17.01.18;10982.7;3528;225.1;
7191483;M;10.01.18;10706.5;3551;223.3;
7191483;M;07.01.18;12508.6;3517;151.6;
7191483;M;02.01.18;8226.3;2512;161.5;
7191483;M;29.12.17;10232.4;3324;159.4;161.0
7191483;M;20.12.17;12747.9;4569;398.4;158.9
7191483;M;13.12.17;12012.8;4008;1052.2;154.4
7191483;M;22.11.17;5624.5;1727;164.0;163.4
7191483;M;20.11.17;10968.4;3547;177.0;166.9
7191483;M;08.11.17;10517.9;3624;258.2;155.3
7191483;M;24.10.17;7576.4;2372;419.4;
7191483;M;07.10.17;5714.9;1888;422.0;158.8
7191483;M;02.10.17;7324.7;2384;394.2;
7191483;M;16.01.17;7940.0;2500;143.9;159.4
7191483;M;10.01.17;10559.9;3564;198.4;156.1
7191483;M;08.01.17;11512.2;3542;135.4;156.6
7191483;M;05.01.17;11943.8;3570;172.3;152.8
7191483;M;26.12.16;8193.8;2704;143.4;
7191483;M;04.11.16;7811.5;2263;76.9;
7191483;M;25.10.16;7516.3;1952;92.5;
13881863;M;31.12.19;12322.8;3339;63.0;
13881863;M;30.12.19;11358.9;3860;66.0;
13881863;M;26.12.19;19096.5;5877;123.0;
13881863;M;25.12.19;11572.5;3662;75.0;
13881863;M;24.12.19;9021.0;2689;23.0;
13881863;M;23.12.19;6601.9;2720;142.2;
13881863;M;16.12.19;10444.3;2986;30.0;142.0
13881863;M;10.12.19;3071.9;1122;11.0;138.0
13881863;M;10.12.19;10667.1;4130;10.0;133.9
13881863;M;05.12.19;11810.5;3538;47.0;138.4
13881863;M;03.12.19;20011.6;7311;54.2;141.2
13881863;M;29.11.19;15469.8;4783;63.9;131.8
13881863;M;25.11.19;10353.4;3259;0.0;134.1
13881863;M;19.11.19;20353.1;5983;50.8;147.3
13881863;M;18.11.19;10391.5;3239;0.0;132.9
13881863;M;16.11.19;11654.4;3335;0.0;
13881863;M;14.11.19;11322.4;3483;0.0;136.0
13881863;M;12.11.19;3274.9;1137;0.0;
13881863;M;12.11.19;14009.9;4494;0.0;
13881863;M;06.11.19;11258.9;2721;43.8;
13881863;M;04.11.19;16204.0;4682;90.2;147.3
13881863;M;01.11.19;10882.4;3422;87.1;135.9
13881863;M;29.10.19;13091.3;4338;243.0;
13881863;M;28.10.19;11311.5;3681;0.0;133.8
13881863;M;26.10.19;2519.1;636;45922;
13881863;M;26.10.19;4957.0;1161;49.7;
13881863;M;23.10.19;15080.4;4063;45.7;
13881863;M;19.10.19;13480.8;4097;97.3;
13881863;M;15.10.19;9528.2;2656;0.0;
13881863;M;11.10.19;14649.9;4436;152.2;
13881863;M;08.10.19;7773.6;2742;128.6;
13881863;M;06.10.19;13841.3;3521;308.9;
13881863;M;05.10.19;14111.9;3414;74.1;
13881863;M;05.10.19;2205.3;511;0.0;
13881863;M;02.10.19;8090.6;2302;72.3;
13881863;M;01.10.19;8295.3;3401;0.0;
13881863;M;26.09.19;11950.6;4703;188.6;
13881863;M;24.09.19;7017.6;3462;0.0;
13881863;M;19.09.19;8038.9;2802;0.0;
13881863;M;17.09.19;9005.7;3485;0.0;
13881863;M;17.09.19;6757.2;2410;0.0;
13881863;M;15.08.19;42030.5;16276;375.0;
13881863;M;05.08.19;16554.9;4997;116.0;
13881863;M;02.08.19;15022.0;4412;101.0;
13881863;M;01.08.19;8799.1;2518;13.0;
13881863;M;29.07.19;14817.0;4228;105.0;
13881863;M;25.07.19;10224.7;2980;26.0;
13881863;M;22.07.19;10296.6;3663;17.0;
13881863;M;18.07.19;11118.8;2901;25.0;
13881863;M;16.07.19;7061.5;1882;34.0;
13881863;M;11.07.19;12108.8;3509;76.0;
13881863;M;10.07.19;12021.2;3731;101.0;
13881863;M;03.07.19;16416.6;5049;230.0;
13881863;M;18.06.19;10826.6;3640;125.0;
13881863;M;16.06.19;5005.8;1215;15.0;
13881863;M;12.06.19;7732.9;2116;40.0;
13881863;M;25.05.19;9479.3;2209;84.0;
13881863;M;21.05.19;12254.8;3932;267.0;
13881863;M;19.05.19;5761.0;1332;62.1;
13881863;M;14.05.19;10322.2;3821;53.0;
13881863;M;09.05.19;4016.3;1023;4.0;
13881863;M;08.05.19;6501.5;1808;4.0;
13881863;M;07.05.19;12013.0;3974;155.0;
13881863;M;01.05.19;14995.7;5602;772.0;
13881863;M;30.04.19;14319.1;4982;239.0;
13881863;M;25.04.19;9728.9;3148;29.0;
13881863;M;07.04.19;42311.4;10676;188.1;
13881863;M;02.04.19;11271.3;3576;151.0;
13881863;M;27.03.19;13655.5;4270;32.0;
13881863;M;26.03.19;11821.0;4143;167.0;
13881863;M;24.03.19;18524.6;4465;103.0;
13881863;M;23.03.19;11688.3;3702;84.0;
13881863;M;19.03.19;10662.3;4029;136.0;
13881863;M;17.03.19;9111.0;2163;69.0;
13881863;M;12.03.19;12146.2;4352;233.0;
13881863;M;10.03.19;5280.4;2461;164.0;
13881863;M;07.03.19;2109.0;609;7.0;
13881863;M;07.03.19;7711.4;2528;130.0;
13881863;M;06.03.19;20327.3;6165;143.0;132.6
13881863;M;05.03.19;10618.4;3786;186.0;
13881863;M;04.03.19;10328.5;3359;10.0;132.5
13881863;M;03.03.19;20954.2;4995;237.2;
13881863;M;28.02.19;11865.5;3728;103.0;130.1
13881863;M;25.02.19;13010.0;3972;96.0;
13881863;M;24.02.19;19188.0;5695;132.0;140.9
13881863;M;20.02.19;6554.6;1879;8.0;
13881863;M;16.02.19;24375.0;6818;116.0;143.6
13881863;M;14.02.19;12001.3;3217;70.0;
13881863;M;13.02.19;13344.4;4658;20.0;
13881863;M;12.02.19;10402.4;2927;22.0;144.6
13881863;M;08.02.19;12012.9;3374;83.0;
13881863;M;07.02.19;10353.2;2959;28.0;141.6
13881863;M;02.02.19;13792.0;3856;101.0;
13881863;M;31.01.19;9204.0;2914;21.0;138.1
13881863;M;30.01.19;23699.4;6868;73.0;151.3
13881863;M;28.01.19;9055.4;2868;112.0;137.9
13881863;M;24.01.19;17168.8;4674;104.0;153.7
13881863;M;22.01.19;10504.7;2838;13.0;154.5
13881863;M;21.01.19;19009.3;5931;79.0;133.7
13881863;M;19.01.19;5947.1;6643;1174.0;
13881863;M;18.01.19;16738.0;5168;125.0;136.0
13881863;M;16.01.19;20361.7;7094;68.0;135.7
13881863;M;15.01.19;11883.8;4068;354.0;
13881863;M;14.01.19;11255.0;3688;78.0;133.8
13881863;M;12.01.19;9062.3;2563;290.0;
13881863;M;11.01.19;13580.7;4234;92.0;132.5
13881863;M;09.01.19;13797.2;3973;67.0;148.1
13881863;M;08.01.19;13134.7;4448;255.0;
13881863;M;05.01.19;19664.2;19779;1137.0;
13881863;M;31.12.18;13415.8;10519;1182.0;
13881863;M;30.12.18;12170.3;13558;1324.4;
13881863;M;28.12.18;20367.1;14747;1463.6;
13881863;M;22.12.18;9757.7;2378;102.0;
13881863;M;18.12.18;7539.2;3183;100.0;
13881863;M;12.12.18;13654.9;3814;57.0;148.7
13881863;M;11.12.18;11125.9;3661;100.0;
13881863;M;04.12.18;13008.1;4611;209.0;
13881863;M;02.12.18;9810.4;2308;22.0;
13881863;M;02.12.18;2925.4;942;14.0;
13881863;M;28.11.18;6905.9;2276;82.4;
13881863;M;25.11.18;7401.6;2598;66.0;
13881863;M;21.11.18;12295.1;3327;27.0;
13881863;M;14.11.18;7596.3;2626;39.0;
13881863;M;13.11.18;11832.9;4160;200.0;
13881863;M;04.11.18;10425.4;3980;131.0;
13881863;M;24.10.18;16797.9;6196;271.0;
13881863;M;23.10.18;14138.8;4601;238.0;
13881863;M;17.10.18;7470.5;2077;17.0;
